customer_id,membership_start_date,membership_end_date,membership_status
1,1984-03-13,1986-09-05,Non-member
1,1984-04-04,1986-10-30,Paid
1,1984-08-02,1987-08-26,Paid
1,1984-10-13,1988-02-22,Paid
1,1984-10-21,1988-03-13,Free
1,1985-06-28,1989-11-28,Paid
1,1985-08-07,1990-03-08,Free
1,1986-11-04,1993-04-16,Paid
1,1986-11-14,1993-05-11,Free
1,1986-11-30,1993-06-20,Free
1,1987-01-03,1993-09-13,Free
1,1987-05-09,1994-07-25,Free
2,1982-11-23,1983-06-03,Non-member
2,1983-10-17,1985-08-31,Paid
2,1984-02-16,1986-07-02,Paid
2,1984-07-31,1987-08-21,Free
2,1985-05-29,1989-09-14,Free
2,1985-10-08,1990-08-10,Paid
2,1986-01-28,1991-05-17,Free
3,1982-10-24,1983-03-20,Non-member
3,1983-03-21,1984-03-24,Free
3,1983-10-27,1985-09-25,Paid
3,1983-12-12,1986-01-18,Free
3,1985-11-13,1990-11-08,Paid
3,1986-02-01,1991-05-27,Paid
3,1986-06-29,1992-05-31,Non-member
4,1983-02-19,1984-01-09,Free
4,1983-06-23,1984-11-14,Paid
4,1983-09-05,1985-05-18,Free
4,1983-11-04,1985-10-15,Free
4,1987-03-18,1994-03-17,Non-member
5,1983-07-13,1985-01-03,Free
5,1984-07-19,1987-07-22,Paid
5,1984-08-24,1987-10-20,Free
5,1985-05-21,1989-08-25,Non-member
5,1985-06-04,1989-09-29,Paid
5,1985-09-06,1990-05-22,Paid
5,1986-09-27,1993-01-11,Non-member
5,1987-08-09,1995-03-12,Free
6,1985-04-03,1989-04-27,Free
6,1986-12-08,1993-07-10,Free
6,1987-04-09,1994-05-11,Paid
6,1987-06-30,1994-12-02,Paid
6,1987-09-20,1995-06-25,Non-member
6,1987-12-01,1995-12-22,Paid
7,1982-12-13,1983-07-23,Free
7,1982-12-27,1983-08-27,Non-member
7,1982-12-29,1983-09-01,Paid
7,1983-04-24,1984-06-17,Paid
7,1983-11-24,1985-12-04,Free
7,1984-10-19,1988-03-08,Free
7,1985-02-28,1989-02-01,Non-member
7,1985-04-11,1989-05-17,Paid
7,1985-05-03,1989-07-11,Paid
7,1985-08-31,1990-05-07,Free
7,1986-06-19,1992-05-06,Non-member
7,1986-11-26,1993-06-10,Free
8,1983-05-06,1984-07-17,Non-member
8,1983-10-05,1985-08-01,Free
8,1984-12-18,1988-08-05,Non-member
8,1985-02-24,1989-01-22,Free
8,1985-06-30,1989-12-03,Non-member
8,1985-07-02,1989-12-08,Paid
8,1986-01-12,1991-04-07,Non-member
8,1987-08-17,1995-04-01,Paid
9,1983-02-05,1983-12-05,Free
9,1983-05-12,1984-08-01,Non-member
9,1983-05-30,1984-09-15,Free
9,1983-11-02,1985-10-10,Non-member
9,1984-07-03,1987-06-12,Paid
9,1985-04-17,1989-06-01,Non-member
9,1985-10-30,1990-10-04,Paid
9,1987-03-04,1994-02-10,Non-member
9,1987-04-23,1994-06-15,Free
10,1983-03-11,1984-02-28,Non-member
10,1983-08-14,1985-03-24,Free
10,1983-10-21,1985-09-10,Paid
10,1983-11-20,1985-11-24,Paid
10,1983-12-06,1986-01-03,Non-member
10,1984-02-18,1986-07-07,Paid
10,1984-03-19,1986-09-20,Free
10,1985-03-20,1989-03-23,Free
10,1985-03-28,1989-04-12,Non-member
10,1985-08-27,1990-04-27,Free
10,1986-09-09,1992-11-27,Non-member
10,1986-10-07,1993-02-05,Free
10,1987-08-23,1995-04-16,Free
11,1982-10-28,1983-03-30,Free
11,1982-12-31,1983-09-06,Non-member
11,1984-01-23,1986-05-03,Paid
11,1984-12-22,1988-08-15,Free
11,1985-01-25,1988-11-08,Non-member
11,1986-05-04,1992-01-12,Free
11,1986-08-02,1992-08-24,Paid
11,1986-12-28,1993-08-29,Paid
12,1984-05-02,1987-01-08,Non-member
12,1984-06-25,1987-05-23,Paid
12,1984-09-01,1987-11-09,Non-member
12,1984-09-13,1987-12-09,Free
12,1985-03-06,1989-02-16,Paid
12,1985-04-25,1989-06-21,Non-member
13,1982-11-21,1983-05-29,Paid
13,1983-02-09,1983-12-15,Paid
13,1983-07-11,1984-12-29,Non-member
13,1984-05-14,1987-02-07,Free
13,1985-08-11,1990-03-18,Free
13,1986-03-13,1991-09-04,Free
13,1986-04-28,1991-12-28,Paid
14,1983-07-17,1985-01-13,Paid
14,1984-02-24,1986-07-22,Free
14,1984-12-10,1988-07-16,Non-member
14,1986-10-27,1993-03-27,Paid
14,1987-02-16,1994-01-01,Non-member
14,1987-12-23,1996-02-15,Paid
15,1983-01-30,1983-11-20,Non-member
15,1983-05-24,1984-08-31,Free
15,1983-09-03,1985-05-13,Paid
15,1984-04-28,1986-12-29,Non-member
15,1984-07-11,1987-07-02,Free
15,1984-08-14,1987-09-25,Paid
15,1984-09-21,1987-12-29,Paid
15,1985-03-18,1989-03-18,Free
15,1985-12-27,1991-02-26,Free
15,1986-10-23,1993-03-17,Paid
15,1987-02-18,1994-01-06,Paid
15,1987-02-22,1994-01-16,Non-member
15,1988-01-16,1996-04-15,Free
16,1983-02-07,1983-12-10,Paid
16,1983-10-09,1985-08-11,Free
16,1983-10-31,1985-10-05,Paid
16,1984-03-01,1986-08-06,Paid
16,1984-06-27,1987-05-28,Free
16,1984-11-26,1988-06-11,Paid
16,1985-02-16,1989-01-02,Paid
16,1985-11-05,1990-10-19,Paid
16,1986-06-05,1992-04-01,Non-member
16,1987-07-04,1994-12-12,Paid
16,1988-01-14,1996-04-10,Paid
16,1988-04-05,1996-11-01,Non-member
17,1983-03-07,1984-02-18,Paid
17,1983-04-16,1984-05-28,Paid
17,1984-01-19,1986-04-23,Non-member
17,1986-08-22,1992-10-13,Paid
17,1987-08-03,1995-02-25,Paid
18,1983-01-02,1983-09-11,Non-member
18,1983-03-15,1984-03-09,Free
18,1983-04-28,1984-06-27,Free
18,1983-12-22,1986-02-12,Paid
18,1983-12-26,1986-02-22,Free
18,1984-05-16,1987-02-12,Free
18,1984-08-10,1987-09-15,Paid
18,1984-10-31,1988-04-07,Free
18,1986-03-15,1991-09-09,Non-member
18,1986-04-02,1991-10-24,Free
18,1987-01-15,1993-10-13,Non-member
18,1987-11-01,1995-10-08,Paid
18,1987-12-05,1996-01-01,Non-member
19,1982-12-23,1983-08-17,Paid
19,1983-03-19,1984-03-19,Non-member
19,1984-05-08,1987-01-23,Free
19,1985-01-11,1988-10-04,Free
19,1985-02-04,1988-12-03,Paid
19,1985-05-11,1989-07-31,Free
19,1985-07-20,1990-01-22,Paid
20,1982-12-01,1983-06-23,Free
20,1983-01-14,1983-10-11,Paid
20,1983-06-25,1984-11-19,Non-member
20,1983-10-19,1985-09-05,Paid
20,1984-01-21,1986-04-28,Free
20,1985-02-26,1989-01-27,Paid
20,1986-03-25,1991-10-04,Non-member
20,1986-07-23,1992-07-30,Free
20,1986-10-11,1993-02-15,Paid
20,1987-10-02,1995-07-25,Non-member
20,1988-02-29,1996-08-03,Paid
21,1983-03-05,1984-02-13,Paid
21,1983-06-21,1984-11-09,Paid
21,1983-10-13,1985-08-21,Non-member
21,1984-02-20,1986-07-12,Free
21,1984-04-06,1986-11-04,Paid
21,1984-04-14,1986-11-24,Non-member
21,1985-01-09,1988-09-29,Free
21,1987-03-08,1994-02-20,Non-member
21,1987-05-05,1994-07-15,Paid
21,1988-03-30,1996-10-17,Free
21,1988-04-01,1996-10-22,Non-member
22,1982-12-25,1983-08-22,Paid
22,1983-01-16,1983-10-16,Free
22,1984-07-29,1987-08-16,Free
22,1985-07-10,1989-12-28,Free
22,1985-09-20,1990-06-26,Paid
22,1986-01-02,1991-03-13,Paid
22,1986-06-23,1992-05-16,Free
22,1987-05-01,1994-07-05,Non-member
22,1987-07-10,1994-12-27,Free
22,1987-08-29,1995-05-01,Free
22,1987-10-20,1995-09-08,Non-member
22,1987-12-21,1996-02-10,Free
22,1988-03-16,1996-09-12,Paid
23,1982-11-11,1983-05-04,Paid
23,1982-11-19,1983-05-24,Non-member
23,1984-01-05,1986-03-19,Free
23,1984-02-02,1986-05-28,Free
23,1984-04-18,1986-12-04,Paid
23,1984-06-11,1987-04-18,Free
23,1985-01-19,1988-10-24,Paid
23,1986-04-24,1991-12-18,Free
23,1987-08-05,1995-03-02,Free
24,1983-05-14,1984-08-06,Free
24,1983-12-04,1985-12-29,Paid
24,1983-12-08,1986-01-08,Non-member
24,1984-01-31,1986-05-23,Paid
24,1984-02-26,1986-07-27,Paid
24,1984-03-21,1986-09-25,Non-member
24,1985-07-04,1989-12-13,Paid
24,1986-02-05,1991-06-06,Non-member
24,1986-08-08,1992-09-08,Free
24,1986-08-10,1992-09-13,Free
24,1986-12-20,1993-08-09,Paid
24,1988-03-12,1996-09-02,Paid
25,1985-03-10,1989-02-26,Non-member
25,1985-05-05,1989-07-16,Free
25,1985-07-12,1990-01-02,Free
25,1986-06-15,1992-04-26,Free
25,1986-10-05,1993-01-31,Free
25,1987-01-01,1993-09-08,Non-member
25,1987-07-08,1994-12-22,Free
26,1983-04-12,1984-05-18,Free
26,1984-03-05,1986-08-16,Non-member
26,1984-05-06,1987-01-18,Paid
26,1984-05-28,1987-03-14,Paid
26,1984-07-01,1987-06-07,Free
26,1985-02-14,1988-12-28,Non-member
26,1985-07-14,1990-01-07,Paid
26,1985-08-01,1990-02-21,Free
26,1985-08-25,1990-04-22,Paid
26,1987-12-03,1995-12-27,Paid
27,1983-03-13,1984-03-04,Free
27,1983-06-17,1984-10-30,Free
27,1983-08-02,1985-02-22,Paid
27,1983-08-12,1985-03-19,Free
27,1984-05-12,1987-02-02,Non-member
27,1985-04-19,1989-06-06,Paid
27,1986-03-21,1991-09-24,Free
27,1986-12-22,1993-08-14,Free
27,1987-01-17,1993-10-18,Free
27,1988-03-10,1996-08-28,Paid
27,1988-03-22,1996-09-27,Non-member
28,1983-06-09,1984-10-10,Free
28,1983-06-27,1984-11-24,Non-member
28,1983-08-28,1985-04-28,Paid
28,1983-11-06,1985-10-20,Free
28,1986-03-17,1991-09-14,Non-member
28,1987-01-13,1993-10-08,Free
28,1987-02-26,1994-01-26,Non-member
28,1987-07-22,1995-01-26,Free
29,1982-11-05,1983-04-19,Non-member
29,1982-12-05,1983-07-03,Paid
29,1983-01-22,1983-10-31,Free
29,1984-08-08,1987-09-10,Non-member
29,1985-03-26,1989-04-07,Paid
29,1985-04-13,1989-05-22,Paid
29,1985-11-07,1990-10-24,Free
29,1985-12-13,1991-01-22,Free
29,1986-04-16,1991-11-28,Non-member
29,1986-08-28,1992-10-28,Paid
29,1986-11-08,1993-04-26,Free
29,1988-02-13,1996-06-24,Non-member
30,1983-08-22,1985-04-13,Free
30,1985-11-23,1990-12-03,Non-member
30,1985-12-19,1991-02-06,Free
30,1986-03-09,1991-08-25,Free
30,1986-07-05,1992-06-15,Free
30,1986-07-31,1992-08-19,Free
30,1986-09-11,1992-12-02,Free
30,1986-11-06,1993-04-21,Free
30,1987-10-16,1995-08-29,Free
30,1988-02-27,1996-07-29,Non-member
31,1982-12-09,1983-07-13,Free
31,1984-07-15,1987-07-12,Non-member
31,1985-01-05,1988-09-19,Free
31,1985-05-17,1989-08-15,Paid
31,1985-12-21,1991-02-11,Non-member
31,1986-01-06,1991-03-23,Paid
31,1986-01-22,1991-05-02,Non-member
31,1986-07-09,1992-06-25,Free
31,1987-08-31,1995-05-06,Paid
31,1987-10-18,1995-09-03,Free
31,1988-03-08,1996-08-23,Non-member
32,1983-02-13,1983-12-25,Paid
32,1984-08-16,1987-09-30,Paid
32,1985-06-10,1989-10-14,Non-member
32,1986-04-10,1991-11-13,Paid
32,1986-11-02,1993-04-11,Paid
32,1987-02-04,1993-12-02,Paid
32,1987-10-28,1995-09-28,Paid
32,1988-03-24,1996-10-02,Paid
33,1983-04-20,1984-06-07,Paid
33,1984-06-19,1987-05-08,Free
33,1984-09-05,1987-11-19,Paid
33,1985-10-18,1990-09-04,Non-member
33,1985-12-05,1991-01-02,Free
33,1986-03-27,1991-10-09,Paid
33,1986-07-11,1992-06-30,Non-member
33,1987-01-05,1993-09-18,Free
33,1987-02-24,1994-01-21,Non-member
33,1988-02-09,1996-06-14,Free
34,1983-04-02,1984-04-23,Non-member
34,1984-10-25,1988-03-23,Free
34,1986-03-11,1991-08-30,Free
34,1987-07-06,1994-12-17,Non-member
34,1987-10-30,1995-10-03,Paid
35,1982-11-15,1983-05-14,Free
35,1983-07-09,1984-12-24,Non-member
35,1984-03-11,1986-08-31,Paid
35,1984-12-28,1988-08-30,Non-member
35,1985-08-09,1990-03-13,Paid
35,1985-09-10,1990-06-01,Paid
35,1985-12-07,1991-01-07,Non-member
35,1986-07-27,1992-08-09,Free
35,1986-08-26,1992-10-23,Free
35,1986-11-10,1993-05-01,Non-member
35,1987-06-02,1994-09-23,Paid
36,1984-05-04,1987-01-13,Free
36,1984-07-07,1987-06-22,Non-member
36,1985-01-15,1988-10-14,Free
36,1986-05-14,1992-02-06,Non-member
36,1986-07-25,1992-08-04,Free
36,1986-07-29,1992-08-14,Non-member
36,1986-08-18,1992-10-03,Paid
36,1987-04-19,1994-06-05,Free
37,1983-02-11,1983-12-20,Paid
37,1983-11-22,1985-11-29,Free
37,1984-11-04,1988-04-17,Paid
37,1985-09-08,1990-05-27,Free
37,1985-12-17,1991-02-01,Paid
37,1986-04-20,1991-12-08,Free
37,1986-05-08,1992-01-22,Non-member
37,1986-10-09,1993-02-10,Free
37,1987-02-10,1993-12-17,Free
38,1983-11-12,1985-11-04,Non-member
38,1984-05-22,1987-02-27,Free
38,1984-12-02,1988-06-26,Free
38,1986-02-25,1991-07-26,Non-member
38,1987-03-20,1994-03-22,Paid
38,1987-04-21,1994-06-10,Non-member
39,1985-07-26,1990-02-06,Paid
39,1986-05-10,1992-01-27,Paid
39,1986-10-29,1993-04-01,Paid
39,1986-12-06,1993-07-05,Free
39,1987-02-20,1994-01-11,Free
39,1987-09-30,1995-07-20,Paid
40,1983-03-29,1984-04-13,Free
40,1983-09-17,1985-06-17,Paid
40,1983-12-02,1985-12-24,Non-member
40,1985-02-20,1989-01-12,Free
40,1985-04-05,1989-05-02,Non-member
40,1985-07-24,1990-02-01,Paid
40,1985-09-28,1990-07-16,Paid
40,1985-10-22,1990-09-14,Non-member
40,1986-02-07,1991-06-11,Paid
40,1986-04-04,1991-10-29,Free
40,1986-06-21,1992-05-11,Free
40,1987-05-29,1994-09-13,Non-member
40,1987-08-19,1995-04-06,Paid
41,1984-12-12,1988-07-21,Paid
41,1985-01-07,1988-09-24,Paid
41,1987-03-26,1994-04-06,Free
41,1987-06-08,1994-10-08,Paid
42,1982-11-01,1983-04-09,Non-member
42,1983-07-21,1985-01-23,Free
42,1983-09-27,1985-07-12,Free
42,1984-03-31,1986-10-20,Paid
42,1985-01-01,1988-09-09,Non-member
42,1986-06-25,1992-05-21,Paid
42,1986-11-18,1993-05-21,Paid
42,1986-11-20,1993-05-26,Paid
43,1982-11-27,1983-06-13,Non-member
43,1983-02-17,1984-01-04,Free
43,1984-01-07,1986-03-24,Non-member
43,1985-09-30,1990-07-21,Paid
43,1986-07-17,1992-07-15,Non-member
43,1987-01-11,1993-10-03,Free
44,1983-05-22,1984-08-26,Non-member
44,1983-09-13,1985-06-07,Paid
44,1984-08-06,1987-09-05,Paid
44,1985-03-22,1989-03-28,Paid
44,1986-05-18,1992-02-16,Paid
45,1985-03-02,1989-02-06,Non-member
45,1985-06-12,1989-10-19,Paid
45,1985-09-18,1990-06-21,Free
45,1986-05-22,1992-02-26,Paid
45,1986-12-30,1993-09-03,Non-member
45,1987-02-02,1993-11-27,Free
45,1987-06-26,1994-11-22,Non-member
46,1983-02-15,1983-12-30,Free
46,1983-07-19,1985-01-18,Non-member
46,1983-11-30,1985-12-19,Free
46,1984-08-22,1987-10-15,Paid
46,1985-01-13,1988-10-09,Non-member
46,1985-11-01,1990-10-09,Free
46,1987-01-31,1993-11-22,Non-member
46,1987-04-13,1994-05-21,Free
46,1987-04-27,1994-06-25,Paid
46,1987-10-24,1995-09-18,Free
46,1988-02-25,1996-07-24,Paid
47,1983-10-15,1985-08-26,Non-member
47,1984-10-09,1988-02-12,Free
47,1985-06-06,1989-10-04,Free
47,1986-03-01,1991-08-05,Non-member
47,1987-03-22,1994-03-27,Paid
47,1987-05-23,1994-08-29,Free
47,1988-02-21,1996-07-14,Non-member
48,1982-11-13,1983-05-09,Free
48,1983-03-23,1984-03-29,Non-member
48,1983-07-31,1985-02-17,Free
48,1983-09-19,1985-06-22,Free
48,1984-03-23,1986-09-30,Free
48,1984-10-03,1988-01-28,Paid
48,1984-11-30,1988-06-21,Paid
48,1984-12-04,1988-07-01,Non-member
48,1985-03-12,1989-03-03,Free
48,1986-06-01,1992-03-22,Free
48,1986-10-15,1993-02-25,Free
48,1987-02-12,1993-12-22,Non-member
48,1987-08-27,1995-04-26,Free
48,1987-09-12,1995-06-05,Non-member
49,1983-04-30,1984-07-02,Paid
49,1983-05-08,1984-07-22,Free
49,1983-12-30,1986-03-04,Non-member
49,1984-01-13,1986-04-08,Paid
49,1984-12-08,1988-07-11,Non-member
49,1985-03-16,1989-03-13,Free
49,1985-06-20,1989-11-08,Non-member
