customer_id,membership_start_date,membership_end_date,membership_status
49,1985-11-19,1990-11-23,Paid
49,1987-05-07,1994-07-20,Free
49,1987-06-12,1994-10-18,Free
49,1988-01-30,1996-05-20,Free
50,1982-10-26,1983-03-25,Non-member
50,1983-08-20,1985-04-08,Paid
50,1984-04-08,1986-11-09,Free
50,1984-09-03,1987-11-14,Free
50,1984-09-27,1988-01-13,Non-member
50,1984-11-24,1988-06-06,Paid
50,1985-12-03,1990-12-28,Non-member
50,1986-03-23,1991-09-29,Paid
51,1983-02-21,1984-01-14,Paid
51,1983-05-16,1984-08-11,Paid
51,1983-05-28,1984-09-10,Non-member
51,1983-08-16,1985-03-29,Paid
51,1985-03-24,1989-04-02,Free
51,1985-05-09,1989-07-26,Free
51,1985-07-28,1990-02-11,Non-member
51,1985-08-13,1990-03-23,Free
51,1985-11-09,1990-10-29,Paid
51,1988-02-19,1996-07-09,Non-member
52,1983-03-31,1984-04-18,Paid
52,1983-07-05,1984-12-14,Free
52,1986-02-23,1991-07-21,Non-member
52,1986-09-23,1993-01-01,Free
52,1987-06-18,1994-11-02,Paid
53,1983-03-01,1984-02-03,Non-member
53,1983-05-10,1984-07-27,Paid
53,1984-04-12,1986-11-19,Free
53,1985-02-02,1988-11-28,Paid
53,1986-09-05,1992-11-17,Non-member
53,1987-02-28,1994-01-31,Free
53,1987-10-14,1995-08-24,Non-member
53,1988-01-24,1996-05-05,Paid
54,1983-01-10,1983-10-01,Paid
54,1983-08-18,1985-04-03,Non-member
54,1983-10-25,1985-09-20,Free
54,1984-05-30,1987-03-19,Free
54,1984-06-09,1987-04-13,Free
54,1985-05-13,1989-08-05,Paid
54,1985-11-29,1990-12-18,Paid
54,1986-04-14,1991-11-23,Paid
54,1986-06-07,1992-04-06,Paid
54,1986-08-24,1992-10-18,Non-member
54,1986-09-29,1993-01-16,Paid
54,1987-08-07,1995-03-07,Paid
54,1987-09-14,1995-06-10,Free
55,1983-06-29,1984-11-29,Paid
55,1983-10-11,1985-08-16,Free
55,1984-06-07,1987-04-08,Paid
55,1984-11-18,1988-05-22,Non-member
55,1985-05-27,1989-09-09,Free
55,1986-01-14,1991-04-12,Free
55,1986-09-21,1992-12-27,Non-member
55,1987-03-24,1994-04-01,Free
55,1987-07-02,1994-12-07,Non-member
55,1987-09-24,1995-07-05,Free
56,1983-08-24,1985-04-18,Free
56,1984-07-21,1987-07-27,Non-member
56,1985-04-29,1989-07-01,Free
56,1985-06-26,1989-11-23,Free
56,1987-06-14,1994-10-23,Free
57,1983-08-06,1985-03-04,Paid
57,1983-10-07,1985-08-06,Paid
57,1986-09-13,1992-12-07,Non-member
58,1983-04-06,1984-05-03,Paid
58,1985-03-14,1989-03-08,Paid
58,1985-04-01,1989-04-22,Free
58,1987-01-29,1993-11-17,Free
58,1987-12-27,1996-02-25,Non-member
59,1984-10-11,1988-02-17,Free
59,1984-11-02,1988-04-12,Paid
59,1985-08-23,1990-04-17,Non-member
59,1986-01-20,1991-04-27,Paid
59,1987-09-06,1995-05-21,Paid
60,1983-02-01,1983-11-25,Non-member
60,1983-07-03,1984-12-09,Free
60,1983-07-25,1985-02-02,Free
60,1984-03-09,1986-08-26,Non-member
60,1984-09-09,1987-11-29,Free
60,1984-10-07,1988-02-07,Free
60,1984-12-26,1988-08-25,Non-member
60,1986-05-02,1992-01-07,Paid
60,1986-05-28,1992-03-12,Paid
60,1986-07-01,1992-06-05,Paid
60,1986-09-03,1992-11-12,Paid
60,1987-04-01,1994-04-21,Paid
60,1987-06-22,1994-11-12,Non-member
60,1987-11-07,1995-10-23,Free
60,1988-01-28,1996-05-15,Non-member
61,1983-01-06,1983-09-21,Paid
61,1984-06-15,1987-04-28,Non-member
61,1984-07-05,1987-06-17,Paid
61,1985-09-14,1990-06-11,Paid
61,1985-11-25,1990-12-08,Free
61,1985-12-29,1991-03-03,Non-member
61,1986-08-06,1992-09-03,Free
61,1987-12-29,1996-03-01,Non-member
61,1988-01-08,1996-03-26,Paid
61,1988-01-20,1996-04-25,Free
62,1983-03-03,1984-02-08,Free
62,1984-08-04,1987-08-31,Non-member
62,1984-09-07,1987-11-24,Free
62,1984-10-17,1988-03-03,Paid
62,1985-05-01,1989-07-06,Paid
62,1985-08-05,1990-03-03,Paid
62,1986-06-03,1992-03-27,Paid
62,1988-03-18,1996-09-17,Non-member
63,1983-01-28,1983-11-15,Free
63,1983-09-21,1985-06-27,Free
63,1983-11-26,1985-12-09,Paid
63,1984-02-28,1986-08-01,Non-member
63,1984-09-23,1988-01-03,Free
63,1984-10-05,1988-02-02,Free
63,1985-11-03,1990-10-14,Free
63,1986-01-04,1991-03-18,Free
63,1986-03-03,1991-08-10,Paid
63,1987-01-09,1993-09-28,Non-member
63,1987-08-21,1995-04-11,Free
63,1987-11-15,1995-11-12,Free
64,1983-09-29,1985-07-17,Paid
64,1983-11-14,1985-11-09,Free
64,1984-02-14,1986-06-27,Paid
64,1984-11-10,1988-05-02,Paid
64,1985-06-08,1989-10-09,Paid
64,1987-04-29,1994-06-30,Free
64,1987-10-26,1995-09-23,Non-member
64,1988-03-04,1996-08-13,Paid
64,1988-03-26,1996-10-07,Paid
65,1982-12-17,1983-08-02,Free
65,1983-01-26,1983-11-10,Non-member
65,1983-03-27,1984-04-08,Paid
65,1983-04-22,1984-06-12,Non-member
65,1984-04-30,1987-01-03,Free
65,1984-11-14,1988-05-12,Free
65,1987-11-09,1995-10-28,Paid
66,1984-06-01,1987-03-24,Non-member
66,1984-11-08,1988-04-27,Free
66,1985-06-22,1989-11-13,Non-member
66,1985-10-16,1990-08-30,Paid
66,1986-05-30,1992-03-17,Non-member
66,1986-07-21,1992-07-25,Free
66,1987-04-05,1994-05-01,Non-member
66,1987-10-10,1995-08-14,Paid
67,1983-05-04,1984-07-12,Free
67,1983-07-15,1985-01-08,Paid
67,1984-04-22,1986-12-14,Non-member
67,1984-10-15,1988-02-27,Free
67,1984-10-29,1988-04-02,Paid
67,1984-11-16,1988-05-17,Non-member
67,1986-01-16,1991-04-17,Free
67,1987-07-26,1995-02-05,Paid
68,1983-10-03,1985-07-27,Paid
68,1983-11-10,1985-10-30,Free
68,1984-06-29,1987-06-02,Paid
68,1984-07-23,1987-08-01,Paid
68,1984-10-23,1988-03-18,Paid
68,1984-12-14,1988-07-26,Paid
68,1985-02-22,1989-01-17,Paid
68,1985-08-03,1990-02-26,Paid
68,1985-10-28,1990-09-29,Free
68,1986-08-16,1992-09-28,Free
69,1982-10-16,1983-02-28,Free
69,1982-11-03,1983-04-14,Paid
69,1982-11-17,1983-05-19,Paid
69,1983-03-17,1984-03-14,Free
69,1983-08-08,1985-03-09,Paid
69,1983-12-18,1986-02-02,Free
69,1984-09-25,1988-01-08,Free
69,1985-10-06,1990-08-05,Non-member
69,1985-10-20,1990-09-09,Free
69,1986-08-14,1992-09-23,Free
69,1986-09-17,1992-12-17,Non-member
69,1987-04-11,1994-05-16,Free
69,1988-02-03,1996-05-30,Paid
69,1988-02-23,1996-07-19,Paid
70,1985-02-18,1989-01-07,Paid
70,1985-08-15,1990-03-28,Non-member
70,1985-12-25,1991-02-21,Free
70,1985-12-31,1991-03-08,Paid
70,1986-05-12,1992-02-01,Free
70,1987-01-27,1993-11-12,Paid
70,1987-12-31,1996-03-06,Non-member
71,1983-09-09,1985-05-28,Paid
71,1984-05-10,1987-01-28,Non-member
71,1986-02-09,1991-06-16,Paid
71,1986-11-22,1993-05-31,Paid
71,1986-12-14,1993-07-25,Free
71,1986-12-26,1993-08-24,Paid
71,1987-01-19,1993-10-23,Free
71,1987-05-13,1994-08-04,Paid
71,1987-08-25,1995-04-21,Non-member
71,1987-10-04,1995-07-30,Free
72,1984-01-11,1986-04-03,Paid
72,1985-05-25,1989-09-04,Non-member
72,1985-10-14,1990-08-25,Paid
72,1986-08-30,1992-11-02,Free
72,1987-05-15,1994-08-09,Paid
72,1987-05-31,1994-09-18,Paid
73,1983-10-01,1985-07-22,Free
73,1984-03-07,1986-08-21,Paid
73,1984-08-28,1987-10-30,Non-member
73,1984-12-06,1988-07-06,Paid
73,1985-12-15,1991-01-27,Non-member
73,1986-01-10,1991-04-02,Paid
73,1986-02-15,1991-07-01,Free
73,1986-06-13,1992-04-21,Free
73,1986-11-16,1993-05-16,Paid
73,1987-05-17,1994-08-14,Free
73,1987-06-10,1994-10-13,Non-member
73,1987-08-13,1995-03-22,Free
73,1988-01-04,1996-03-16,Non-member
74,1982-12-07,1983-07-08,Free
74,1983-06-01,1984-09-20,Non-member
74,1983-07-07,1984-12-19,Free
74,1983-12-20,1986-02-07,Free
74,1984-07-27,1987-08-11,Non-member
74,1985-10-02,1990-07-26,Paid
74,1985-11-15,1990-11-13,Paid
74,1986-03-29,1991-10-14,Paid
74,1986-12-24,1993-08-19,Paid
75,1982-12-03,1983-06-28,Non-member
75,1983-10-29,1985-09-30,Free
75,1984-05-24,1987-03-04,Paid
75,1984-11-06,1988-04-22,Paid
75,1986-04-18,1991-12-03,Free
75,1986-05-06,1992-01-17,Free
75,1986-06-11,1992-04-16,Non-member
75,1986-07-15,1992-07-10,Free
75,1987-12-13,1996-01-21,Free
75,1988-03-02,1996-08-08,Free
76,1983-04-08,1984-05-08,Non-member
76,1985-11-21,1990-11-28,Free
76,1986-10-13,1993-02-20,Paid
77,1983-08-10,1985-03-14,Non-member
77,1984-08-26,1987-10-25,Paid
77,1985-01-17,1988-10-19,Paid
77,1985-03-08,1989-02-21,Free
77,1985-04-07,1989-05-07,Non-member
77,1985-07-30,1990-02-16,Paid
77,1985-08-19,1990-04-07,Free
77,1987-04-17,1994-05-31,Paid
77,1987-11-03,1995-10-13,Free
77,1988-03-28,1996-10-12,Free
78,1983-01-04,1983-09-16,Paid
78,1984-11-12,1988-05-07,Non-member
78,1986-01-26,1991-05-12,Free
79,1983-02-03,1983-11-30,Free
79,1983-11-08,1985-10-25,Non-member
79,1984-01-15,1986-04-13,Free
79,1986-10-17,1993-03-02,Free
79,1987-07-20,1995-01-21,Free
79,1988-01-02,1996-03-11,Paid
79,1988-02-17,1996-07-04,Paid
80,1984-03-15,1986-09-10,Non-member
80,1984-11-20,1988-05-27,Paid
80,1985-05-31,1989-09-19,Free
80,1985-06-24,1989-11-18,Paid
80,1985-07-16,1990-01-12,Free
80,1985-09-22,1990-07-01,Non-member
80,1986-03-05,1991-08-15,Paid
80,1986-05-26,1992-03-07,Free
80,1987-11-21,1995-11-27,Non-member
80,1987-12-19,1996-02-05,Paid
81,1984-02-06,1986-06-07,Non-member
81,1984-02-22,1986-07-17,Paid
81,1984-07-25,1987-08-06,Free
81,1985-04-27,1989-06-26,Free
81,1985-06-16,1989-10-29,Non-member
81,1985-12-23,1991-02-16,Paid
81,1986-04-30,1992-01-02,Free
81,1986-07-19,1992-07-20,Free
81,1987-04-07,1994-05-06,Paid
81,1987-06-28,1994-11-27,Paid
81,1987-08-15,1995-03-27,Free
81,1987-09-08,1995-05-26,Free
81,1987-11-13,1995-11-07,Paid
81,1987-12-09,1996-01-11,Paid
82,1983-01-08,1983-09-26,Paid
82,1983-01-24,1983-11-05,Paid
82,1984-07-13,1987-07-07,Non-member
82,1985-07-18,1990-01-17,Paid
82,1985-10-10,1990-08-15,Paid
82,1985-10-24,1990-09-19,Non-member
82,1987-07-16,1995-01-11,Paid
82,1987-07-18,1995-01-16,Paid
82,1987-12-25,1996-02-20,Free
82,1988-02-05,1996-06-04,Free
83,1983-01-18,1983-10-21,Free
83,1986-02-13,1991-06-26,Paid
83,1986-08-04,1992-08-29,Paid
83,1986-11-28,1993-06-15,Paid
83,1987-09-26,1995-07-10,Paid
83,1987-11-23,1995-12-02,Paid
84,1982-10-20,1983-03-10,Paid
84,1983-06-07,1984-10-05,Free
84,1984-06-21,1987-05-13,Non-member
84,1984-09-19,1987-12-24,Paid
84,1985-07-08,1989-12-23,Non-member
84,1986-08-12,1992-09-18,Free
84,1986-12-02,1993-06-25,Paid
84,1987-02-14,1993-12-27,Paid
84,1987-05-21,1994-08-24,Paid
84,1987-09-18,1995-06-20,Free
84,1987-11-25,1995-12-07,Paid
84,1987-12-11,1996-01-16,Free
85,1982-12-11,1983-07-18,Paid
85,1983-09-23,1985-07-02,Paid
85,1984-11-22,1988-06-01,Non-member
85,1985-09-12,1990-06-06,Free
85,1986-10-01,1993-01-21,Non-member
85,1987-05-25,1994-09-03,Paid
86,1984-01-25,1986-05-08,Non-member
86,1984-03-29,1986-10-15,Paid
86,1984-04-02,1986-10-25,Free
86,1984-12-30,1988-09-04,Paid
86,1985-02-06,1988-12-08,Free
86,1987-03-14,1994-03-07,Non-member
86,1987-05-03,1994-07-10,Paid
86,1987-05-27,1994-09-08,Free
87,1982-10-18,1983-03-05,Paid
87,1984-02-08,1986-06-12,Non-member
87,1984-04-24,1986-12-19,Paid
87,1984-06-13,1987-04-23,Free
87,1984-07-17,1987-07-17,Non-member
87,1985-12-01,1990-12-23,Free
87,1986-07-03,1992-06-10,Paid
87,1986-09-25,1993-01-06,Paid
87,1986-10-21,1993-03-12,Free
87,1986-12-12,1993-07-20,Paid
88,1983-09-11,1985-06-02,Non-member
88,1984-06-05,1987-04-03,Free
88,1985-07-06,1989-12-18,Non-member
88,1987-11-29,1995-12-17,Paid
89,1983-06-05,1984-09-30,Non-member
89,1984-04-10,1986-11-14,Paid
89,1985-05-15,1989-08-10,Free
89,1985-11-17,1990-11-18,Free
90,1984-08-30,1987-11-04,Non-member
90,1985-08-29,1990-05-02,Paid
90,1985-10-04,1990-07-31,Free
90,1985-10-26,1990-09-24,Non-member
90,1985-12-11,1991-01-17,Free
90,1986-05-20,1992-02-21,Paid
90,1987-05-11,1994-07-30,Free
91,1983-06-13,1984-10-20,Free
91,1983-11-28,1985-12-14,Non-member
91,1984-04-16,1986-11-29,Paid
91,1984-08-18,1987-10-05,Free
91,1985-05-07,1989-07-21,Free
91,1985-05-19,1989-08-20,Paid
91,1985-06-18,1989-11-03,Free
91,1985-09-02,1990-05-12,Free
91,1986-01-24,1991-05-07,Non-member
91,1986-04-12,1991-11-18,Free
91,1987-11-11,1995-11-02,Non-member
92,1983-04-14,1984-05-23,Free
92,1983-12-24,1986-02-17,Free
92,1985-11-11,1990-11-03,Paid
92,1986-02-11,1991-06-21,Paid
92,1986-07-13,1992-07-05,Free
92,1986-09-19,1992-12-22,Free
92,1987-01-25,1993-11-07,Paid
92,1987-03-10,1994-02-25,Free
93,1983-07-01,1984-12-04,Paid
93,1986-01-08,1991-03-28,Free
93,1986-06-17,1992-05-01,Non-member
93,1987-04-15,1994-05-26,Paid
94,1982-12-15,1983-07-28,Non-member
94,1983-02-23,1984-01-19,Paid
94,1983-04-04,1984-04-28,Paid
94,1983-12-14,1986-01-23,Non-member
94,1984-07-09,1987-06-27,Paid
94,1984-12-16,1988-07-31,Free
94,1985-02-12,1988-12-23,Free
94,1986-04-26,1991-12-23,Non-member
94,1986-12-10,1993-07-15,Paid
94,1987-04-25,1994-06-20,Non-member
94,1987-05-19,1994-08-19,Paid
94,1987-11-27,1995-12-12,Paid
95,1985-09-26,1990-07-11,Non-member
95,1986-02-19,1991-07-11,Free
95,1986-02-21,1991-07-16,Free
95,1986-04-22,1991-12-13,Non-member
95,1986-08-20,1992-10-08,Free
95,1987-03-16,1994-03-12,Paid
95,1987-06-06,1994-10-03,Paid
95,1987-09-16,1995-06-15,Non-member
95,1987-11-17,1995-11-17,Free
95,1988-01-26,1996-05-10,Paid
96,1983-04-10,1984-05-13,Paid
96,1983-06-19,1984-11-04,Free
96,1984-02-10,1986-06-17,Paid
96,1984-06-03,1987-03-29,Free
96,1984-10-27,1988-03-28,Paid
96,1985-01-27,1988-11-13,Paid
96,1985-08-21,1990-04-12,Free
96,1985-09-16,1990-06-16,Free
96,1986-02-17,1991-07-06,Non-member
96,1986-03-07,1991-08-20,Paid
96,1986-04-06,1991-11-03,Free
96,1986-09-01,1992-11-07,Non-member
96,1986-10-03,1993-01-26,Free
96,1987-07-30,1995-02-15,Free
96,1987-12-07,1996-01-06,Free
96,1988-01-12,1996-04-05,Paid
97,1982-10-22,1983-03-15,Non-member
97,1982-11-29,1983-06-18,Paid
97,1985-02-08,1988-12-13,Free
97,1986-12-04,1993-06-30,Paid
97,1987-02-08,1993-12-12,Free
98,1983-07-23,1985-01-28,Paid
98,1984-04-20,1986-12-09,Non-member
98,1985-02-10,1988-12-18,Free
98,1986-01-18,1991-04-22,Free
98,1986-03-31,1991-10-19,Free
98,1986-04-08,1991-11-08,Free
98,1986-06-27,1992-05-26,Paid
98,1986-09-15,1992-12-12,Free
98,1986-10-19,1993-03-07,Non-member
99,1982-11-07,1983-04-24,Paid
99,1985-06-14,1989-10-24,Free
99,1985-09-04,1990-05-17,Free
99,1986-06-09,1992-04-11,Non-member
99,1986-11-24,1993-06-05,Free
99,1986-12-16,1993-07-30,Paid
99,1987-07-12,1995-01-01,Paid
99,1987-09-04,1995-05-16,Paid
99,1987-10-06,1995-08-04,Paid
99,1987-12-15,1996-01-26,Free
99,1988-02-07,1996-06-09,Non-member
100,1983-05-20,1984-08-21,Free
100,1984-08-12,1987-09-20,Non-member
100,1985-01-29,1988-11-18,Free
100,1987-09-10,1995-05-31,Non-member
100,1987-10-08,1995-08-09,Paid
100,1988-02-11,1996-06-19,Paid
